timestamp,sleepStage
1582436190,N2
1582436220,N2
1582436250,N2
1582436280,N2
1582436310,N2
1582436340,N2
1582436370,N2
1582436400,N2
1582436430,N2
1582436460,N2
1582436490,N2
1582436520,N2
1582436550,N2
1582436580,N3
1582436610,N3
1582436640,N3
1582436670,N3
1582436700,N3
1582436730,N3
1582436760,N3
1582436790,N3
1582436820,N3
1582436850,N3
1582436880,N3
1582436910,N3
1582436940,N3
1582436970,N3
1582437000,N3
1582437030,N2
1582437060,N2
1582437090,N2
1582437120,N2
1582437150,N2
1582437180,N2
1582437210,N2
1582437240,N2
1582437270,N2
1582437300,N2
1582437330,N2
1582437360,N2
1582437390,N3
1582437420,N3
1582437450,N3
1582437480,N3
1582437510,N3
1582437540,N3
1582437570,N3
1582437600,N3
1582437630,N3
1582437660,N2
1582437690,N2
1582437720,N2
1582437750,N2
1582437780,N2
1582437810,REM
1582437840,REM
1582437870,REM
1582437900,REM
1582437930,REM
1582437960,REM
1582437990,REM
1582438020,REM
1582438050,REM
1582438080,REM
1582438110,REM
1582438140,REM
1582438170,REM
1582438200,REM
1582438230,REM
1582438260,REM
1582438290,REM
1582438320,REM
1582438350,REM
1582438380,REM
1582438410,REM
1582438440,REM
1582438470,N1
1582438500,N1
1582438530,N2
1582438560,N2
1582438590,N2
1582438620,N2
1582438650,N2
1582438680,N2
1582438710,N2
1582438740,N2
1582438770,N2
1582438800,N2
1582438830,N2
1582438860,N2
1582438890,N2
1582438920,N2
1582438950,N2
1582438980,N2
1582439010,N2
1582439040,N2
1582439070,N2
1582439100,N2
1582439130,N2
1582439160,N2
1582439190,N2
1582439220,N2
1582439250,N2
1582439280,N2
1582439310,N2
1582439340,N2
1582439370,N2
1582439400,N2
1582439430,N2
1582439460,N2
1582439490,N2
1582439520,N2
1582439550,N2
1582439580,N2
1582439610,N2
1582439640,N2
1582439670,N2
1582439700,N2
1582439730,N2
1582439760,N2
1582439790,N2
1582439820,N2
1582439850,N2
1582439880,N3
1582439910,N3
1582439940,N3
1582439970,N3
1582440000,N3
1582440030,N3
1582440060,N3
1582440090,N3
1582440120,N3
1582440150,N3
1582440180,N3
1582440210,N3
1582440240,N3
1582440270,N3
1582440300,N3
1582440330,N3
1582440360,N3
1582440390,N3
1582440420,N3
1582440450,N3
1582440480,N3
1582440510,N3
1582440540,N2
1582440570,N2
1582440600,N2
1582440630,N2
1582440660,N2
1582440690,N2
1582440720,N2
1582440750,N2
1582440780,N2
1582440810,N2
1582440840,N2
1582440870,N2
1582440900,N2
1582440930,N3
1582440960,N3
1582440990,N3
1582441020,N3
1582441050,N3
1582441080,N3
1582441110,N3
1582441140,N3
1582441170,N3
1582441200,N3
1582441230,N2
1582441260,N2
1582441290,N2
1582441320,N2
1582441350,N2
1582441380,N2
1582441410,N2
1582441440,N2
1582441470,N2
1582441500,N2
1582441530,N2
1582441560,N2
1582441590,N2
1582441620,N2
1582441650,N3
1582441680,N3
1582441710,N2
1582441740,N2
1582441770,N2
1582441800,N2
1582441830,N3
1582441860,N3
1582441890,N3
1582441920,N3
1582441950,N3
1582441980,N3
1582442010,N3
1582442040,N3
1582442070,N3
1582442100,N3
1582442130,N3
